Exporters	Imported value in 2001	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Kyrgyzstan"	0	0	0	15	17	9	0	37	12	88	537	0	0	7	10	0	4	0	52	46	
"Rwanda"	0	0	0	0	0	50	1482	576	71	9458	1886	634	0	0	0	0	13	0	1	45	
"Azerbaijan"	11	0	0	287	8	7	25	36	9	74	28	0	7	16	22	11	0	42	7	41	
"Marshall Islands"	0	0	5	0	0	2	0	6	0	0	0	0	0	0	14	157	0	0	0	40	
"Palestine, State of"	8	0	0	0	1696	0	16	5	36	9	5	28	34	57	30	11	7	21	25	35	
"British Virgin Islands"	2180	47	7832	761	1808	2080	23285	4747	3550	537	10860	5880	2139	321	31	51	2824	3096	619	31	
"Tokelau"	0	36	1	0	1	0	0	2	17	100	14	32	68	61	155	97	93	353	101	28	
"Armenia"	51	6	14	61	29	105	275	25	229	2197	1367	1379	73	25	21	29	37	116	57	28	
"Nepal"	4	1	0	3	9	13	24	67	0	45	44	41	102	36	38	19	11	18	24	27	
"Lesotho"	0	1	0	2	0	0	0	0	1	3	10	31	10	2	1	0	3	0	21	26	
"Suriname"	16	2	28	3	3	793	69	63	3	1	136	1270	457	437	298	174	42	83	200	25	
"Aruba"	11722	1365	3906	2027	17223	71598	106866	184100	14490	35303	182479	98002	87307	1619	21228	17789	3033	21	190	23	
"Liberia"	39	7	0	5	15	0	936	2040	0	3	337	132	162	155	6183	6165	38	86	42	18	
"Mozambique"	11	0	0	0	1	3	2	8	0	0	202	24	8	60	0	4737	3404	9	24	18	
"Gabon"	47	108	56	651	34	7	0	101	15	18	0	8	9	9	35	0	14	126	1159	17	
"Mongolia"	31	98	25	1	22	10	4	0	23	0	0	0	6	14	120	3	46	6	0	15	
"Bhutan"	30	58	170	173	38	7	278	432	114	73	79	144	161	914	9	23	1	22	24	11	
"Niger"	0	0	0	0	130	0	5	80	79	24	21	24	7	77	3	11	7	10	2	10	
"Sierra Leone"	0	2	0	2	3	1	8	31	3	24	16	9	46	8	49	220	34	124	111	10	
"Botswana"	16	0	0	68	14	6	2	2	11	0	11	120	0	0	5	0	12	2	11	9	
"Dominica"	45	0	6	2	115	20	312	947	1064	52	507	269	3	29	11	203	89	3	1	9	
