estu_genero,fami_educacionpadre,fami_educacionmadre,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,fami_tieneautomovil,edad,pago_promedio,estu_economia,distancia,presencial,punt_global,Region Amazonica,Region Andina,Region Caribe,Region Orinoquia,Region Pacifica
0,13.0,12.0,3,1,1,1,21,3250.0,0,0,1,176,0,1,0,0,0
1,15.0,15.0,5,1,1,1,21,7000.0,1,0,1,196,0,1,0,0,0
1,17.0,15.0,3,1,1,0,35,1750.0,1,1,0,160,0,1,0,0,0
0,17.0,15.0,6,1,1,1,21,7000.0,1,0,1,195,0,1,0,0,0
0,5.0,3.0,3,0,0,0,20,3250.0,0,0,1,151,0,1,0,0,0
0,17.0,17.0,3,1,1,0,23,6250.0,1,0,1,171,0,1,0,0,0
0,11.0,11.0,3,1,0,0,19,4750.0,0,0,1,180,0,1,0,0,0
0,3.0,8.0,1,1,1,0,22,500.0,1,0,1,182,0,1,0,0,0
1,11.0,14.0,4,1,1,1,22,6250.0,1,0,1,141,0,1,0,0,0
1,3.0,8.0,1,0,1,0,23,0.0,1,0,1,163,0,1,0,0,0
0,13.0,13.0,3,1,1,0,39,1750.0,1,1,0,195,0,0,0,0,1
0,5.0,11.0,3,1,1,1,21,4750.0,0,0,1,183,0,0,0,0,1
0,11.0,11.0,3,1,1,0,27,3250.0,0,0,1,138,0,1,0,0,0
1,15.0,12.0,2,1,1,1,24,4750.0,1,0,1,158,0,1,0,0,0
0,15.0,8.0,3,0,1,0,23,3250.0,1,0,1,170,0,1,0,0,0
0,13.0,17.0,4,1,1,1,24,4750.0,0,0,1,141,0,1,0,0,0
1,8.0,5.0,2,1,1,0,30,1750.0,1,1,0,171,0,1,0,0,0
1,15.0,15.0,4,1,1,0,20,7000.0,1,0,1,207,0,0,1,0,0
0,13.0,11.0,1,1,1,0,19,7000.0,1,0,1,169,0,0,1,0,0
1,14.0,13.0,3,1,1,0,22,750.0,1,0,1,196,0,1,0,0,0
1,8.0,11.0,3,1,1,1,22,1750.0,1,0,1,191,0,1,0,0,0
0,14.0,11.0,3,1,1,0,26,1750.0,1,1,0,121,0,1,0,0,0
1,15.0,11.0,4,1,1,1,20,7000.0,1,0,1,188,0,1,0,0,0
0,14.0,13.0,4,1,1,1,20,6250.0,0,0,1,164,0,1,0,0,0
0,13.0,13.0,2,1,1,0,20,4750.0,1,0,1,154,0,1,0,0,0
0,14.0,13.0,2,1,0,0,19,3250.0,1,0,1,172,0,1,0,0,0
1,14.0,13.0,3,1,1,0,20,7000.0,1,0,1,191,0,1,0,0,0
1,13.0,14.0,4,1,1,0,21,6250.0,1,0,1,175,0,1,0,0,0
0,15.0,17.0,3,1,1,1,20,7000.0,1,0,1,183,0,1,0,0,0
0,11.0,11.0,3,1,1,1,22,7000.0,0,0,1,132,0,1,0,0,0
1,11.0,11.0,1,1,1,0,21,750.0,1,0,1,149,0,1,0,0,0
0,8.0,5.0,2,1,1,0,26,500.0,1,0,1,131,0,1,0,0,0
0,15.0,13.0,2,1,1,0,19,0.0,0,0,1,185,0,0,0,0,1
