Product code	Product label	Colombia's imports from United States of America-Value in 2002	Colombia's imports from United States of America-Value in 2003	Colombia's imports from United States of America-Value in 2004	Colombia's imports from United States of America-Value in 2005	Colombia's imports from United States of America-Value in 2006	Colombia's imports from United States of America-Value in 2007	Colombia's imports from United States of America-Value in 2008	Colombia's imports from United States of America-Value in 2009	Colombia's imports from United States of America-Value in 2010	Colombia's imports from United States of America-Value in 2011	Colombia's imports from United States of America-Value in 2012	Colombia's imports from United States of America-Value in 2013	Colombia's imports from United States of America-Value in 2014	Colombia's imports from United States of America-Value in 2015	Colombia's imports from United States of America-Value in 2016	Colombia's imports from United States of America-Value in 2017	Colombia's imports from United States of America-Value in 2018	Colombia's imports from United States of America-Value in 2019	Colombia's imports from United States of America-Value in 2020	Colombia's imports from United States of America-Value in 2021	United States of America's exports to world- 	United States of America's exports to world-Value in 2002	United States of America's exports to world-Value in 2003	United States of America's exports to world-Value in 2004	United States of America's exports to world-Value in 2005	United States of America's exports to world-Value in 2006	United States of America's exports to world-Value in 2007	United States of America's exports to world-Value in 2008	United States of America's exports to world-Value in 2009	United States of America's exports to world-Value in 2010	United States of America's exports to world-Value in 2011	United States of America's exports to world-Value in 2012	United States of America's exports to world-Value in 2013	United States of America's exports to world-Value in 2014	United States of America's exports to world-Value in 2015	United States of America's exports to world-Value in 2016	United States of America's exports to world-Value in 2017	United States of America's exports to world-Value in 2018	United States of America's exports to world-Value in 2019	United States of America's exports to world-Value in 2020	United States of America's exports to world-Value in 2021	Colombia's imports from world- 	Colombia's imports from world-Value in 2002	Colombia's imports from world-Value in 2003	Colombia's imports from world-Value in 2004	Colombia's imports from world-Value in 2005	Colombia's imports from world-Value in 2006	Colombia's imports from world-Value in 2007	Colombia's imports from world-Value in 2008	Colombia's imports from world-Value in 2009	Colombia's imports from world-Value in 2010	Colombia's imports from world-Value in 2011	Colombia's imports from world-Value in 2012	Colombia's imports from world-Value in 2013	Colombia's imports from world-Value in 2014	Colombia's imports from world-Value in 2015	Colombia's imports from world-Value in 2016	Colombia's imports from world-Value in 2017	Colombia's imports from world-Value in 2018	Colombia's imports from world-Value in 2019	Colombia's imports from world-Value in 2020	Colombia's imports from world-Value in 2021	
30	"Pharmaceutical products"	76238	81377	86495	100397	149892	196904	233489	308008	360853	370055	410719	481945	417238	462514	433676	482099	517438	582823	498203			13080142	15942871	19598014	21717180	25236280	29099708	34113362	40668566	40788230	38341461	40129283	39708541	43995520	47094047	46828627	44936422	48422459	53154570	53749642	77962125		446813	438395	466402	546315	731327	898764	1078129	1280482	1469095	1692512	2083324	2317239	2382079	2332118	2108504	2191162	2394105	2556294	2505361		
39	"Plastics and articles thereof"	194878	199487	257943	299599	375199	492248	533608	469524	581025	672869	713832	769916	818476	722899	660388	625696	754822	727786	693272			27186973	28935186	33834387	38254439	42712143	47858263	51220849	42795066	53625263	58743605	59006434	60980811	63037374	60347504	58628345	61907709	66561665	65004106	60205864	74311058		566948	606221	721140	956701	1157870	1403311	1597200	1314595	1679697	2189633	2315088	2425850	2699223	2379918	2112993	2129011	2506143	2304872	2078699		
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)"	930	810	1038	1379	1851	2075	2098	2172	4103	2597	2996	5963	2733	1415	1029	1044	1354	2073	780			616185	679212	823073	1080786	1150081	1131856	1224272	1131887	1214459	1365039	1539722	1643903	1625095	1684509	1627375	1554022	1695703	1663369	1271399	1426990		22337	19197	24996	38689	52099	68032	83404	75463	94863	132361	165796	183022	193125	160412	138704	149252	167776	170974	97095		
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"	15367	13207	11591	13335	19062	24220	23872	21652	24717	30808	22132	22742	19296	19612	17126	14852	13976	13645	10545			4242184	4413928	4685685	5195643	5494045	5945448	6143855	5462313	5758556	5747146	5700094	5580854	5218463	4861182	4565228	4455787	4335327	4236842	3667793	4200634		65830	63099	61182	73998	88261	101152	120331	109718	134246	136584	127448	145397	164439	125975	100251	99461	119303	89813	67785		
50	"Silk"	147	142	156	115	212	153	162	212	79	168	166	123	144	95	99	77	33	59	41			27600	30751	29971	32826	56487	44789	40137	25620	26349	23611	16867	13485	12584	12641	9808	13097	7962	7405	4457	5561		2381	2312	2624	1981	1850	1898	1882	1408	929	1308	943	1028	1011	652	942	1325	1078	748	303		
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use"	2702	2726	4727	2905	3699	3920	4372	4272	4726	5797	5849	7792	7088	6874	6051	6836	6215	5270	6129			1289961	1455911	1470427	1426916	1486424	1605923	1582033	1321848	1745419	1902259	2033215	2115499	2239066	2240474	2198983	2292292	2338029	2150373	1891663	2087677		19789	19899	21630	20683	21202	25297	28851	22322	28578	41300	55832	63791	69941	52282	50897	52446	54299	57881	48259		
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	9773	6896	4366	7169	7319	6305	9726	7850	6337	6436	6254	12240	8671	7411	4696	4771	4237	3750	2192			2375831	2081700	1881440	1825269	1735831	1549008	1679379	1546496	1821094	2129572	2350755	2419502	2573466	2589333	2337995	2300241	2388531	2248265	1788656	2145589		36212	30506	37361	53216	67808	108016	135982	128336	165075	278557	356929	389112	404032	339826	267649	308990	349472	346570	207756		
69	"Ceramic products"	3280	3142	2995	3347	3233	4769	2306	2007	6075	3970	3165	2958	5954	7210	5258	3554	8014	4373	1987			926264	907980	985796	1061573	1162208	1410914	1451847	1193217	1523913	1734983	1714202	1765422	1899719	1814240	1730277	1928869	2054613	2103967	1804631	2297719		37455	42914	53380	78073	114432	130222	150388	118867	174997	235156	257903	266262	294370	228219	204344	191641	216306	189304	140016		
74	"Copper and articles thereof"	3401	3061	4326	4999	4431	5776	6638	7630	5888	7546	7841	6404	6271	5532	3083	5154	4093	4166	4130			2089121	2492093	3438659	3890937	6597591	7218936	7214629	5053938	7886532	9654623	9695969	9120831	8664748	7073104	6314653	7183462	8414536	7306068	6452176	10380039		69888	73304	129386	199211	340825	404987	386173	248257	371446	423519	378169	406306	389485	307333	259786	289214	329509	291735	283687		
88	"Aircraft, spacecraft, and parts thereof"	699967	498208	546483	647355	470681	383928	622728	1158617	537325	1268744	483419	1170059	508700	1038061	628845	484994	442478	223946	219724			43872773	40807246	53635535	63500882	66753299	75952357	71993164	82957527	79617923	87757246	104440080	114898028	125186257	131661791	134742238	131120839	139442044	136519380	81293548	89136499		787569	704773	619080	709112	663875	789079	1476882	2637505	1878588	2993133	1267749	2321344	2372442	2569146	925529	1001605	1221388	1226737	654634		
